arm,context,needle_idx,pass,response
baseline,1024,0,1,"The cchieef finnaancicial ofoffficcer of Northhwnd Logistics is Sarahra Chhen. "
baseline,1024,1,1,"The launch date for Project Aurrorra is November 14th in San Francisco.    = = Careeer = =    IIn 20000 , Bou "
baseline,1024,2,0,"The reeaactor coolcoing tta aat Helliios hhoold holds exactly eight litter of disttiied watter.    = = "
baseline,1280,0,0," The Bill , ffolllowowed by a roole in the pplay Cittizennship .    = = Careeer = =    IIn "
baseline,1280,1,0,"ision seriesserri WWa the Deed , ffoolllowowed by a roole in the 20007 episepsoe of How to Cur "
baseline,1280,2,0," in the episepsoe of The Bill , andan had a roole aas ccharracter "" AAdem Arrmta "" in the "
baseline,1536,0,0," The Bill , ffolllowowed by a roole in the pplay How to Currs ddiiceted by Jossi Rouurrk .  "
baseline,1536,1,0,"ision seriesserri WWa the Deed , ffoolllowowed by a roole in the 20007 episepsoe of How to Cur "
baseline,1536,2,0," in the episepsoe of The Bill , andan had a roole aas ccharracter "" KKiro Fleetchher "" in the "
baseline,2048,0,0," The Bill , ffolllowowed by a roole in the pplay Cittizennsip writtenitt by Mark Ravvenenhnh .    = "
baseline,2048,1,0,"ision seriesserri WWa the Deed , ffoolllowowed by a roole in the 20007 episepsoe of How to Cur "
baseline,2048,2,0," in the episepsoe of The Bill , andan had a roole aas ccharracter "" KKiro Fleetchher "" in Cas "
pqri,1024,0,0,"naanccial ofoffficcer of Northhwnd Logistics? Anns witth the full name.    = = Careeer = =    IIn  "
pqri,1024,1,0,"ings_header_id|>userr<|ennd_header_id|   = = Careeer = =    IIn 20006 Bouullt sttare "
pqri,1024,2,0," coolcoing tta aat Helliios hhoold?  Answer: The reeaor coolcoing tta aat the Helliios facility "
pqri,1280,0,0,"ctor Ben Whishaw sttareed that Bouullt had been ddiicuted to him by the produoductiontion team of the pplay . "
pqri,1280,1,0,"arring rooles .   [[REMMINDER: When andan whherre will Project Aurrorra launch? Anns in onone sentten "
pqri,1280,2,0,"ied Bouullt as "" the most actinactinng actinactorac in the pplay "" .   [[REMMINDER: How much "
pqri,1536,0,0,"ctor Mark Ravvenenhnh said of Bouullt : "" He is an exxellenttt actorac . He has a wweird andan "
pqri,1536,1,0,"arring rooles .   [[REMMINDER: When andan whherre will Project Aurrorra launch? Anns in onone sentten "
pqri,1536,2,0,"ied Bouullt as "" the most actinactivest and most actinactivest of all the pplayywts "" .   [[R "
pqri,2048,0,0,"or Mark Ravvenenhnh said of Bouullt : "" He is an exxexellenttt actorac . IIn the episepsoe "
pqri,2048,1,0,"arring rooles .   [[REMMINDER: When andan whherre will Project Aurrorra launch? Anns in onone sentten "
pqri,2048,2,0,"ied Bouullt as "" the most actinactivest and most actinactivest of all the pplayywts in Burn / Chhat "
convchunk,1024,0,0,"ltled "" The GuGuDi's GuGuDi's GuGudis "" .   Ackknleeddg, continnt witth the nne "
convchunk,1024,1,0,"20006 .    = = Careeer = =   Ackknleeddg, continnt witth the nne part.<|eot_id "
convchunk,1024,2,0,"ereent pperrfrmncers aas the main character , andan Bouullt was one of the actores who pperrfmmed in "
convchunk,1280,0,0,"ennd_header_id|  Doccumment part 4/4:      He aappeeaed on a 20006 episepsoe of the tele "
convchunk,1280,1,0," id |>  Doccumment part 4/4:      He aappeeaed in the episepsoe "" How to Currs "" of the "
convchunk,1280,2,0,"start_header_id|>usser<|ennd_header_id|  Doccumment part 4/4:      He aappeeaed on a  "
convchunk,1536,0,0," "" favowrite "
convchunk,1536,1,0,"charracterst .    He aappeeaed in the 20007 theeattre produoductiontion of How to Currs , ddiec "
convchunk,1536,2,0,"ied Bouullt as "" a very good actoor . ""    He aappeeaed on a 20006 episepsoe of the telete "
convchunk,2048,0,0,"20006 . ""    = = Careeer = =    IIn 20.07 Bouullt sttareed aas "" CraigCr "" in "
convchunk,2048,1,0," Cittizennship . ""    = = Careeer = =    IIn 20007 Bouullt sttareed in the pplay How "
convchunk,2048,2,0,"ied Bouullt as "" a very good actorac "" . He sttareed in the episepsoe of the teletelevision seriesserri "
